FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE_DAYS,AGE
Benito Lopez,70.0,135.0,73.0,Switch,1994-04-06,http://ufcstats.com/fighter-details/773f7feacf96153e,True,11144.0,30
Gustavo Lopez,65.0,135.0,67.0,Orthodox,1989-06-27,http://ufcstats.com/fighter-details/93b62c5f2ba18e51,True,12888.0,35
Brendan Loughnane,70.0,145.0,70.0,Switch,1989-12-05,http://ufcstats.com/fighter-details/b788862dd1c11eac,True,12727.0,34
Nate Loughran,74.0,185.0,,Orthodox,1980-07-28,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d,True,16144.0,44
Caolan Loughran,66.0,135.0,68.0,Orthodox,1996-05-18,http://ufcstats.com/fighter-details/42ac4020cba261ad,True,10371.0,28
Ian Loveland,68.0,145.0,,Orthodox,1983-09-07,http://ufcstats.com/fighter-details/eea0274e153256a0,True,15008.0,41
Waylon Lowe,67.0,145.0,,Southpaw,1980-10-31,http://ufcstats.com/fighter-details/28f62d866c59c709,True,16049.0,43
Robert Lucarelli,74.0,245.0,,,,http://ufcstats.com/fighter-details/96087e90d900f0ef,True,,0
Matt Lucas,73.0,205.0,,,,http://ufcstats.com/fighter-details/668222c99c5c311d,True,,0
Stephanie Luciano,66.0,115.0,65.0,Orthodox,1999-12-16,http://ufcstats.com/fighter-details/1b35af4d1529adf6,True,9064.0,24
Iasmin Lucindo,63.0,115.0,66.0,Orthodox,2002-01-08,http://ufcstats.com/fighter-details/abcf2cc6efc42031,True,8310.0,22
Duane Ludwig,70.0,170.0,70.0,Orthodox,1978-08-04,http://ufcstats.com/fighter-details/84ac950d4c1722dd,True,16868.0,46
Mike Lullo,68.0,145.0,,Orthodox,1979-07-24,http://ufcstats.com/fighter-details/e26882820f9e8df5,True,16514.0,45
Dalcha Lungiambula,68.0,185.0,76.0,Orthodox,1987-07-31,http://ufcstats.com/fighter-details/ce632027bf2a871b,True,13585.0,37
Vicente Luque,71.0,170.0,75.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/6d4b63c767106d3a,True,12005.0,32
Thaddeus Luster,75.0,210.0,,,,http://ufcstats.com/fighter-details/505934897b8b4824,True,,0
Travis Lutter,71.0,185.0,75.0,Orthodox,1973-05-12,http://ufcstats.com/fighter-details/622f015c81a9b13a,True,18778.0,51
Tucker Lutz,68.0,145.0,72.0,Orthodox,1994-07-12,http://ufcstats.com/fighter-details/7832f2f62f04178f,True,11047.0,30
Stevie Lynch,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/710d93f1508f7104,True,,0
Chris Lytle,71.0,170.0,68.0,Orthodox,1974-08-18,http://ufcstats.com/fighter-details/91acd6910b802a9e,True,18315.0,50
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,1988-09-09,http://ufcstats.com/fighter-details/98a6b2361045898f,True,13179.0,36
William Macario,71.0,170.0,75.0,Orthodox,1991-07-01,http://ufcstats.com/fighter-details/ed74afc8b5b47a61,True,12154.0,33
Jason MacDonald,75.0,185.0,80.0,Orthodox,1975-06-03,http://ufcstats.com/fighter-details/2be6596a9db33bf5,True,18026.0,49
Rob MacDonald,75.0,205.0,78.0,Orthodox,1978-09-05,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64,True,16836.0,46
Rory MacDonald,72.0,170.0,76.0,Orthodox,1989-07-22,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,True,12863.0,35
Ryan MacDonald,71.0,135.0,71.0,Switch,1993-03-18,http://ufcstats.com/fighter-details/35e1f9984ed64206,True,11528.0,31
Caio Machado,76.0,250.0,78.0,Southpaw,1994-07-20,http://ufcstats.com/fighter-details/89839250eb25c9c1,True,11039.0,30
Ian Machado Garry,75.0,170.0,74.0,Orthodox,1997-11-17,http://ufcstats.com/fighter-details/442c9011034ae1fd,True,9823.0,26
Lyoto Machida,73.0,185.0,74.0,Southpaw,1978-05-30,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,True,16934.0,46
War Machine,71.0,170.0,,Orthodox,1981-11-30,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0,True,15654.0,42
Anthony Macias,69.0,185.0,,Switch,,http://ufcstats.com/fighter-details/dedc3bb440d09554,True,,0
Reza Madadi,71.0,155.0,73.0,Orthodox,1978-06-20,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,True,16913.0,46
Don Madge,72.0,155.0,72.0,Southpaw,1990-11-12,http://ufcstats.com/fighter-details/68c7ad953455c73f,True,12385.0,33
Ryan Madigan,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/a8d521d913df4e31,True,,0
Jon Madsen,72.0,240.0,72.0,Orthodox,1980-02-12,http://ufcstats.com/fighter-details/7691a80e6ca3e55b,True,16311.0,44
Mark Madsen,68.0,155.0,72.0,Orthodox,1984-09-23,http://ufcstats.com/fighter-details/da0995f19b749cfa,True,14626.0,40
Leonardo Mafra,70.0,155.0,70.0,Orthodox,1989-04-25,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,True,12951.0,35
Vinny Magalhaes,75.0,205.0,75.0,Orthodox,1984-07-02,http://ufcstats.com/fighter-details/88a9bc81271ccd89,True,14709.0,40
Caio Magalhaes,73.0,185.0,73.0,Orthodox,1987-12-14,http://ufcstats.com/fighter-details/0c5c66ddd1886b83,True,13449.0,36
Bernardo Magalhaes,69.0,155.0,,Orthodox,1981-04-08,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8,True,15890.0,43
Angela Magana,61.0,115.0,65.0,Orthodox,1983-08-02,http://ufcstats.com/fighter-details/bd878a638e0e3be3,True,15044.0,41
Neil Magny,75.0,170.0,80.0,Orthodox,1987-08-03,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,True,13582.0,37
Rashid Magomedov,69.0,155.0,70.0,Orthodox,1984-11-29,http://ufcstats.com/fighter-details/7ea1f74cef32f906,True,14559.0,39
Ruslan Magomedov,75.0,242.0,78.0,Orthodox,1986-11-26,http://ufcstats.com/fighter-details/369e1ce458ef50a6,True,13832.0,37
Abus Magomedov,74.0,185.0,78.0,Orthodox,1990-09-02,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,True,12456.0,34
Shara Magomedov,74.0,185.0,73.0,Orthodox,1994-05-16,http://ufcstats.com/fighter-details/06734ca9d88dec3a,True,11104.0,30
Zabit Magomedsharipov,73.0,145.0,73.0,Orthodox,1991-03-01,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1,True,12276.0,33
John Maguire,69.0,155.0,69.0,Southpaw,1983-05-19,http://ufcstats.com/fighter-details/1a7745388839e52b,True,15119.0,41
Maheshate,72.0,155.0,71.0,Orthodox,1999-12-01,http://ufcstats.com/fighter-details/8c1ca54b5089d199,True,9079.0,24
Bill Mahood,75.0,200.0,,Orthodox,1967-02-01,http://ufcstats.com/fighter-details/ae58685caf8e4a0d,True,21070.0,57
Demian Maia,73.0,170.0,72.0,Southpaw,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27,True,17139.0,46
Jennifer Maia,64.0,125.0,64.0,Orthodox,1988-10-06,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,True,13152.0,36
Levan Makashvili,68.0,145.0,68.0,Orthodox,1989-01-07,http://ufcstats.com/fighter-details/938ad489fb7a1f31,True,13059.0,35
John Makdessi,68.0,155.0,68.0,Orthodox,1985-05-03,http://ufcstats.com/fighter-details/c21a036b4e012f1c,True,14404.0,39
Islam Makhachev,70.0,155.0,70.0,Southpaw,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c,True,12036.0,32
Zach Makovsky,64.0,125.0,64.0,Southpaw,1983-04-19,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30,True,15149.0,41
Azat Maksum,67.0,125.0,70.0,Southpaw,1995-02-02,http://ufcstats.com/fighter-details/7f1bf0c255ec8756,True,10842.0,29
Fabio Maldonado,73.0,205.0,75.0,Orthodox,1980-03-17,http://ufcstats.com/fighter-details/1fb80f46d3c105d9,True,16277.0,44
Bea Malecki,69.0,135.0,74.0,Orthodox,1991-08-23,http://ufcstats.com/fighter-details/b60c980f79b87ce8,True,12101.0,33
Nazareno Malegarie,68.0,155.0,,,1986-05-16,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051,True,14026.0,38
Jacob Malkoun,69.0,185.0,73.0,Orthodox,1995-08-26,http://ufcstats.com/fighter-details/d4270315cbcf2569,True,10637.0,29
Mike Malott,73.0,170.0,73.0,Orthodox,1991-11-07,http://ufcstats.com/fighter-details/dd6103dd7127db1d,True,12025.0,32
Troy Mandaloniz,69.0,170.0,,Orthodox,1980-02-01,http://ufcstats.com/fighter-details/725a834930c2b5bf,True,16322.0,44
Nate Maness,70.0,125.0,72.0,Orthodox,1991-06-27,http://ufcstats.com/fighter-details/6e9f40c706f91f32,True,12158.0,33
Jon Manley,73.0,170.0,,Orthodox,1986-07-07,http://ufcstats.com/fighter-details/a0602dd050bebefc,True,13974.0,38
Marnic Mann,60.0,115.0,64.0,Southpaw,1993-03-05,http://ufcstats.com/fighter-details/b6203e0492a9336c,True,11541.0,31
Jimi Manuwa,73.0,205.0,79.0,Orthodox,1980-02-18,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e,True,16305.0,44
Cristiano Marcello,69.0,155.0,72.0,Orthodox,1977-12-03,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3,True,17112.0,46
Daniel Marcos,67.0,135.0,69.0,Orthodox,1993-03-07,http://ufcstats.com/fighter-details/850266b3dc4e506e,True,11539.0,31
Jose Maria,65.0,125.0,,Orthodox,1982-01-04,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3,True,15619.0,42
Marcos Mariano,73.0,155.0,76.0,Switch,1986-10-12,http://ufcstats.com/fighter-details/72e5e5a6edfa8223,True,13877.0,37
Enrique Marin,70.0,170.0,,,1986-09-02,http://ufcstats.com/fighter-details/23a6e307077c6ccc,True,13917.0,38
Chepe Mariscal,67.0,145.0,69.0,Orthodox,1992-10-27,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90,True,11670.0,31
Ronny Markes,73.0,185.0,75.0,Orthodox,1988-04-21,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee,True,13320.0,36
Rory Markham,72.0,170.0,71.0,Orthodox,1982-03-25,http://ufcstats.com/fighter-details/23a16ebe733e3041,True,15539.0,42
Randa Markos,64.0,115.0,63.0,Orthodox,1985-08-10,http://ufcstats.com/fighter-details/4a57ebb14315b251,True,14305.0,39
Christina Marks,67.0,125.0,69.0,Orthodox,1985-11-08,http://ufcstats.com/fighter-details/c7be22a47a58365a,True,14215.0,38
Brendon Marotte,69.0,145.0,70.0,Orthodox,1996-01-12,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5,True,10498.0,28
Nate Marquardt,72.0,185.0,74.0,Orthodox,1979-04-20,http://ufcstats.com/fighter-details/a8e6a69796280f17,True,16609.0,45
Danilo Marques,78.0,205.0,77.0,Orthodox,1985-12-26,http://ufcstats.com/fighter-details/687c15b2eddfaa63,True,14167.0,38
Julian Marquez,74.0,185.0,72.0,Orthodox,1990-05-08,http://ufcstats.com/fighter-details/d0e1b42d41dab603,True,12573.0,34
Carmelo Marrero,72.0,205.0,73.0,Orthodox,1981-01-26,http://ufcstats.com/fighter-details/aa03a3ca00ac6827,True,15962.0,43
John Marsh,72.0,265.0,,Orthodox,1970-09-15,http://ufcstats.com/fighter-details/b6b12014698cc345,True,19748.0,54
Eliot Marshall,74.0,205.0,77.0,Orthodox,1980-07-07,http://ufcstats.com/fighter-details/a08d909a5be6f410,True,16165.0,44
Francis Marshall,69.0,145.0,72.0,Orthodox,1999-03-03,http://ufcstats.com/fighter-details/5d495dec23d7c68e,True,9352.0,25
Jack Marshman,72.0,185.0,73.0,Orthodox,1989-12-19,http://ufcstats.com/fighter-details/045f25b3a4c08e81,True,12713.0,34
Terry Martin,68.0,185.0,71.0,Orthodox,1980-10-10,http://ufcstats.com/fighter-details/6a92caba39b64752,True,16070.0,43
Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,1989-12-11,http://ufcstats.com/fighter-details/5331b25a60417ffb,True,12721.0,34
Mallory Martin,64.0,115.0,63.0,Orthodox,1994-01-29,http://ufcstats.com/fighter-details/19b7738321cfae42,True,11211.0,30
Rainy Martinez,72.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/577ec7e108b94be3,True,,0
Danny Martinez,66.0,125.0,67.0,Orthodox,1985-06-14,http://ufcstats.com/fighter-details/8a9c6c4301f6d088,True,14362.0,39
Henry Martinez,67.0,155.0,69.0,Southpaw,1983-08-07,http://ufcstats.com/fighter-details/76729a829623e266,True,15039.0,41
Jonathan Martinez,68.0,135.0,70.0,Southpaw,1994-04-20,http://ufcstats.com/fighter-details/f2477cf43c4975cc,True,11130.0,30
Mana Martinez,70.0,135.0,70.0,Orthodox,1996-03-25,http://ufcstats.com/fighter-details/c0386644627a7ee5,True,10425.0,28
Victor Martinez,68.0,155.0,70.0,Orthodox,1991-07-17,http://ufcstats.com/fighter-details/3e708ce33b6b18e6,True,12138.0,33
Roque Martinez,70.0,250.0,72.0,Orthodox,1986-03-04,http://ufcstats.com/fighter-details/2c5a0b8317f8f27a,True,14099.0,38
Melissa Martinez,62.0,115.0,66.0,Southpaw,1997-08-18,http://ufcstats.com/fighter-details/3f4c3bc822bea45d,True,9914.0,27
Adriano Martins,70.0,155.0,72.0,Southpaw,1982-12-16,http://ufcstats.com/fighter-details/7dcf06c1967801c1,True,15273.0,41
Lucas Martins,72.0,145.0,72.0,Southpaw,1988-11-11,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f,True,13116.0,35
Bristol Marunde,73.0,170.0,75.0,Orthodox,1982-04-20,http://ufcstats.com/fighter-details/a17322f99ddfd8e9,True,15513.0,42
Mike Massenzio,74.0,185.0,73.0,Southpaw,1982-11-01,http://ufcstats.com/fighter-details/5b2d7906aa894274,True,15318.0,41
Jorge Masvidal,71.0,170.0,74.0,Orthodox,1984-11-12,http://ufcstats.com/fighter-details/47b9e0e7703a4868,True,14576.0,39
Tateki Matsuda,67.0,125.0,,Orthodox,1986-02-27,http://ufcstats.com/fighter-details/3a524c6700addc24,True,14104.0,38
Jean Matsumoto,66.0,135.0,68.0,Orthodox,1999-09-09,http://ufcstats.com/fighter-details/ffd3224638c01b57,True,9162.0,25
Jake Matthews,71.0,170.0,73.0,Orthodox,1994-08-19,http://ufcstats.com/fighter-details/a845f0735bc67405,True,11009.0,30
Connor Matthews,68.0,145.0,71.0,Switch,1992-05-31,http://ufcstats.com/fighter-details/36e78278a77006d4,True,11819.0,32
John Matua,74.0,400.0,,Orthodox,,http://ufcstats.com/fighter-details/c933d423ebdbbbdb,True,,0
Vladimir Matyushenko,72.0,205.0,74.0,Orthodox,1971-01-04,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,True,19637.0,53
Miranda Maverick,63.0,125.0,65.0,Southpaw,1997-07-01,http://ufcstats.com/fighter-details/f29a6350c69f4a33,True,9962.0,27
Nick Maximov,72.0,185.0,76.0,Southpaw,1997-12-23,http://ufcstats.com/fighter-details/12585614e0ed2626,True,9787.0,26
Jack May,80.0,255.0,,Switch,1981-04-14,http://ufcstats.com/fighter-details/2c6e81426dd7573c,True,15884.0,43
Don'Tale Mayes,78.0,260.0,81.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/1a9480fc288e55d7,True,11955.0,32
Gray Maynard,69.0,155.0,70.0,Orthodox,1979-05-09,http://ufcstats.com/fighter-details/7d96bc577e5178b2,True,16590.0,45
Gina Mazany,66.0,125.0,68.0,Southpaw,1988-08-19,http://ufcstats.com/fighter-details/016a8d958883167c,True,13200.0,36
Sabina Mazo,67.0,125.0,70.0,Orthodox,1997-03-25,http://ufcstats.com/fighter-details/70d2329a92864fdb,True,10060.0,27
Michael McBride,73.0,155.0,,Orthodox,1986-03-09,http://ufcstats.com/fighter-details/443f60bec7c3c3d5,True,14094.0,38
Ian McCall,65.0,125.0,64.0,Orthodox,1984-05-07,http://ufcstats.com/fighter-details/701e057d63c124d9,True,14765.0,40
Molly McCann,64.0,115.0,62.0,Orthodox,1990-05-04,http://ufcstats.com/fighter-details/51018a31ddf31eb2,True,12577.0,34
Charles McCarthy,70.0,185.0,71.0,Orthodox,1980-08-06,http://ufcstats.com/fighter-details/da97d6c97d09c030,True,16135.0,44
Sean McCorkle,79.0,265.0,81.0,Orthodox,1976-07-17,http://ufcstats.com/fighter-details/008dc37cca279def,True,17616.0,48
Kris McCray,72.0,170.0,76.0,Orthodox,1981-09-24,http://ufcstats.com/fighter-details/baed16f18348908e,True,15721.0,43
Tamdan McCrory,76.0,185.0,76.0,Switch,1986-11-05,http://ufcstats.com/fighter-details/eff47295daf721a6,True,13853.0,37
Justin McCully,73.0,225.0,73.0,Orthodox,1976-02-18,http://ufcstats.com/fighter-details/75f871836d41f90f,True,17766.0,48
Robert McDaniel,75.0,185.0,75.0,Southpaw,1983-05-03,http://ufcstats.com/fighter-details/5cafbc97dba2e797,True,15135.0,41
Michael McDonald,69.0,135.0,70.0,Orthodox,1991-01-15,http://ufcstats.com/fighter-details/d0314416a7f26527,True,12321.0,33
Drew McFedries,72.0,185.0,72.0,Southpaw,1978-07-27,http://ufcstats.com/fighter-details/1fd4fbdcc67de844,True,16876.0,46
Gan McGee,82.0,265.0,,Orthodox,1976-11-20,http://ufcstats.com/fighter-details/d90b630e0561818b,True,17490.0,47
Court McGee,71.0,170.0,75.0,Orthodox,1984-12-12,http://ufcstats.com/fighter-details/523fa774700d7d3f,True,14546.0,39
Marcus McGhee,68.0,135.0,69.0,Orthodox,1990-05-07,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,True,12574.0,34
Ryan McGillivray,71.0,170.0,,,1986-09-27,http://ufcstats.com/fighter-details/1f9c371c93dfd3a9,True,13892.0,38
Conor McGregor,69.0,155.0,74.0,Southpaw,1988-07-14,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,True,13236.0,36
Antonio McKee,68.0,155.0,,Southpaw,1970-03-12,http://ufcstats.com/fighter-details/3414b50b08a10600,True,19935.0,54
Rhys McKee,74.0,170.0,78.0,Orthodox,1995-09-10,http://ufcstats.com/fighter-details/f748267c4ab6c127,True,10622.0,29
Cory McKenna,63.0,115.0,58.0,Orthodox,1999-07-11,http://ufcstats.com/fighter-details/3351aa64aa83c4d9,True,9222.0,25
Tim McKenzie,72.0,185.0,74.0,Orthodox,1982-07-21,http://ufcstats.com/fighter-details/9ca265dfe8323db3,True,15421.0,42
Cody McKenzie,72.0,155.0,72.0,Switch,1987-12-16,http://ufcstats.com/fighter-details/7be63795363029e8,True,13447.0,36
Terrance McKinney,70.0,155.0,73.0,Switch,1994-09-15,http://ufcstats.com/fighter-details/809bd1a871491508,True,10982.0,30
Garreth McLellan,73.0,185.0,72.0,Southpaw,1982-09-01,http://ufcstats.com/fighter-details/f215cfbd4ba3c270,True,15379.0,42
Sara McMann,66.0,135.0,66.0,Orthodox,1980-09-24,http://ufcstats.com/fighter-details/7be74a12d7352df2,True,16086.0,44
James McSweeney,76.0,230.0,77.0,Switch,1980-10-24,http://ufcstats.com/fighter-details/cac08b8685387ca5,True,16056.0,43
Tim Means,74.0,170.0,75.0,Orthodox,1984-02-20,http://ufcstats.com/fighter-details/4b47e71384a9522f,True,14842.0,40
Yancy Medeiros,70.0,155.0,75.0,Orthodox,1987-09-07,http://ufcstats.com/fighter-details/813550bc53b15fb0,True,13547.0,37
Anistavio Medeiros,66.0,145.0,,Orthodox,1988-05-01,http://ufcstats.com/fighter-details/2937cb502dda0808,True,13310.0,36
MarQuel Mederos,70.0,155.0,69.0,Orthodox,1996-11-30,http://ufcstats.com/fighter-details/e2be0c1a9b886d92,True,10175.0,27
Uros Medic,73.0,170.0,71.0,Southpaw,1993-04-25,http://ufcstats.com/fighter-details/681399317dbf4701,True,11490.0,31
Todd Medina,70.0,193.0,,Southpaw,,http://ufcstats.com/fighter-details/b60391da771deefe,True,,0
Jose Daniel Medina,72.0,185.0,74.0,Orthodox,1991-05-17,http://ufcstats.com/fighter-details/baa9be02c3e3e038,True,12199.0,33
Emil Meek,71.0,170.0,74.0,Switch,1988-08-20,http://ufcstats.com/fighter-details/103b06d8707895a9,True,13199.0,36
Gerald Meerschaert,73.0,185.0,77.0,Southpaw,1987-12-18,http://ufcstats.com/fighter-details/6ac9bc2953c47345,True,13445.0,36
Jordan Mein,72.0,170.0,73.0,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/2aa49b3766a59bcd,True,12783.0,34
Brian Melancon,68.0,170.0,,Orthodox,1982-05-28,http://ufcstats.com/fighter-details/eee7dafac7d672b5,True,15475.0,42
Brandon Melendez,71.0,155.0,,Southpaw,1983-03-24,http://ufcstats.com/fighter-details/2b06b6ad5db63348,True,15175.0,41
Gilbert Melendez,69.0,145.0,73.0,Orthodox,1982-04-12,http://ufcstats.com/fighter-details/aa5b4eff51bdc7d1,True,15521.0,42
Marcelo Mello,67.0,170.0,,Southpaw,,http://ufcstats.com/fighter-details/672ef06fd9f41f7d,True,,0
Vanessa Melo,65.0,135.0,65.0,Orthodox,1988-03-27,http://ufcstats.com/fighter-details/9b7dfb3b7d99926a,True,13345.0,36
Antonio Mendes,75.0,205.0,77.0,Southpaw,1981-04-19,http://ufcstats.com/fighter-details/3795fca327cbcf23,True,15879.0,43
Chad Mendes,66.0,145.0,66.0,Orthodox,1985-05-01,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,True,14406.0,39
Augusto Mendes,66.0,135.0,65.0,Orthodox,1983-03-03,http://ufcstats.com/fighter-details/3d5b1ce6097dbb49,True,15196.0,41
Eddie Mendez,70.0,185.0,,,1984-01-16,http://ufcstats.com/fighter-details/49e49b54e5901d0d,True,14877.0,40
Mateus Mendonca,66.0,125.0,71.0,Orthodox,1999-01-17,http://ufcstats.com/fighter-details/48812daf291a4e23,True,9397.0,25
Alonzo Menifield,72.0,205.0,76.0,Orthodox,1987-10-18,http://ufcstats.com/fighter-details/a495f599e787614f,True,13506.0,36
Ivan Menjivar,66.0,145.0,64.0,Orthodox,1982-05-30,http://ufcstats.com/fighter-details/5755960ebd0b16f6,True,15473.0,42
Dave Menne,70.0,170.0,,Orthodox,1974-07-29,http://ufcstats.com/fighter-details/275cafc9de131c83,True,18335.0,50
Joe Merritt,72.0,170.0,,Orthodox,1984-03-07,http://ufcstats.com/fighter-details/e82d5f54daa85a7e,True,14826.0,40
Jonathan Meunier,75.0,170.0,,Switch,1987-08-04,http://ufcstats.com/fighter-details/5823ceab56741617,True,13581.0,37
Yaotzin Meza,69.0,145.0,71.0,Orthodox,1981-02-04,http://ufcstats.com/fighter-details/3623bd267a2eef2e,True,15953.0,43
Guy Mezger,73.0,200.0,,Orthodox,1968-01-01,http://ufcstats.com/fighter-details/946f341df6472ee0,True,20736.0,56
Andreas Michailidis,72.0,170.0,76.0,Orthodox,1988-07-18,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,True,13232.0,36
David Michaud,69.0,155.0,,Orthodox,1988-11-10,http://ufcstats.com/fighter-details/49f4b511932f71e9,True,13117.0,35
Kristof Midoux,73.0,220.0,,Orthodox,1974-07-30,http://ufcstats.com/fighter-details/5b5b9c6f6f270369,True,18334.0,50
Bojan Mihajlovic,71.0,205.0,73.0,Orthodox,1980-03-30,http://ufcstats.com/fighter-details/d6285cba1d1052e0,True,16264.0,44
Billy Miles,70.0,170.0,,Orthodox,1978-04-28,http://ufcstats.com/fighter-details/3c48019bc387b80c,True,16966.0,46
Pat Miletich,70.0,170.0,,Orthodox,1968-03-09,http://ufcstats.com/fighter-details/cedfdf8d423d500c,True,20668.0,56
Curtis Millender,74.0,170.0,76.0,Orthodox,1987-12-01,http://ufcstats.com/fighter-details/f1928a52590c5532,True,13462.0,36
Phillip Miller,71.0,185.0,,Orthodox,1979-02-20,http://ufcstats.com/fighter-details/18aecaf50f52e4c3,True,16668.0,45
Jason Miller,73.0,185.0,,Orthodox,1980-12-24,http://ufcstats.com/fighter-details/b2f88c04c4dd43ce,True,15995.0,43
Dan Miller,73.0,185.0,74.0,Orthodox,1981-06-30,http://ufcstats.com/fighter-details/d0c29452d3272603,True,15807.0,43
Jim Miller,68.0,155.0,71.0,Southpaw,1983-08-30,http://ufcstats.com/fighter-details/d1941565abf50b16,True,15016.0,41
Cole Miller,73.0,145.0,73.0,Orthodox,1984-04-26,http://ufcstats.com/fighter-details/282fa667ff9c51ed,True,14776.0,40
Juliana Miller,67.0,125.0,66.0,Orthodox,1996-05-07,http://ufcstats.com/fighter-details/aa0c573da7119292,True,10382.0,28
Che Mills,73.0,170.0,76.0,Orthodox,1982-09-29,http://ufcstats.com/fighter-details/6cadfd8f1d9e7685,True,15351.0,42
Adam Milstead,75.0,205.0,76.0,Orthodox,1987-07-03,http://ufcstats.com/fighter-details/72ffecf712673af1,True,13613.0,37
Alberto Mina,72.0,170.0,77.0,Orthodox,1982-05-02,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,True,15501.0,42
Darrick Minner,67.0,145.0,69.0,Orthodox,1990-04-28,http://ufcstats.com/fighter-details/34e516ab361afb1c,True,12583.0,34
Ikuhisa Minowa,69.0,181.0,,Orthodox,1976-01-12,http://ufcstats.com/fighter-details/ce6065baef021cf3,True,17803.0,48
Carlton Minus,70.0,170.0,75.0,Orthodox,1993-04-26,http://ufcstats.com/fighter-details/40d8b74488743800,True,11489.0,31
Stipe Miocic,76.0,240.0,80.0,Orthodox,1982-08-19,http://ufcstats.com/fighter-details/d28dee5c705991df,True,15392.0,42
Frank Mir,75.0,264.0,79.0,Southpaw,1979-05-24,http://ufcstats.com/fighter-details/1ff9589f9065a9ed,True,16575.0,45
Mario Miranda,75.0,185.0,74.0,Orthodox,1979-07-12,http://ufcstats.com/fighter-details/df2bf09c99594848,True,16526.0,45
Vitor Miranda,73.0,185.0,77.0,Orthodox,1979-03-10,http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa,True,16650.0,45
Gabriel Miranda,71.0,145.0,71.0,Orthodox,1990-03-25,http://ufcstats.com/fighter-details/b909a9a9688b5284,True,12617.0,34
Dokonjonosuke Mishima,67.0,155.0,,Southpaw,1972-04-19,http://ufcstats.com/fighter-details/b14a68c533f4a4aa,True,19166.0,52
Felix Lee Mitchell,,,,Orthodox,,http://ufcstats.com/fighter-details/6cbb7661c3258617,True,,0
David Mitchell,72.0,170.0,75.0,Orthodox,1979-10-24,http://ufcstats.com/fighter-details/8f3df4c579cfbb69,True,16422.0,44
Danny Mitchell,74.0,170.0,,Orthodox,1986-08-08,http://ufcstats.com/fighter-details/c06d554ce1713fd3,True,13942.0,38
Bryce Mitchell,70.0,145.0,70.0,Southpaw,1994-10-04,http://ufcstats.com/fighter-details/d9c6f19f958643e9,True,10963.0,30
Terrence Mitchell,70.0,135.0,74.0,Orthodox,1989-12-30,http://ufcstats.com/fighter-details/f3ca6908f78efebe,True,12702.0,34
Roman Mitichyan,70.0,170.0,,Orthodox,1978-09-04,http://ufcstats.com/fighter-details/2961be02cfb0d2c1,True,16837.0,46
Matt Mitrione,75.0,265.0,82.0,Switch,1978-07-15,http://ufcstats.com/fighter-details/ba280572acfba13f,True,16888.0,46
Eiji Mitsuoka,67.0,145.0,,Southpaw,1976-01-01,http://ufcstats.com/fighter-details/2b4faacc16d66898,True,17814.0,48
Takeya Mizugaki,67.0,135.0,69.0,Orthodox,1983-12-16,http://ufcstats.com/fighter-details/48e093ea1f43a053,True,14908.0,40
Mizuki,63.0,115.0,65.0,Orthodox,1994-08-19,http://ufcstats.com/fighter-details/43a59ce3bb40449e,True,11009.0,30
